Get Out|2017|24/02/2019|Len
Mulholland Drive|2001|03/03/2019|meanhouseart
Breadwinner|2017|10/03/2019|hellothereimaaron
First Man|2018|17/03/2019|XaviourNyx
Cloud Atlas|2012|24/03/2019|Len
In the Mood for Love|2000|31/03/2019|meanhouseart
Donnie Darko|2001|07/04/2019|hellothereimaaron
The Favourite|2018|14/04/2019|XaviourNyx
Isle of Dogs|2018|21/04/2019|Len
Big Trouble in Little China|1986|28/04/2019|meanhouseart
I, Tonya|2017|05/05/2019|hellothereimaaron
The Lord of the Rings: The Fellowship of the Ring|2001|12/05/2019|XaviourNyx
The Lord of the Rings: The Two Towers|2002|19/05/2019|Len
The Lord of the Rings: The Return of the King|2003|27/05/2019|meanhouseart
Enter the Dragon|1973|04/06/2019|hellothereimaaron
Three Colors: Blue|1993|10/06/2019|XaviourNyx
Three Colors: White|1994|16/06/2019|Len
Three Colors: Red|1994|24/06/2019|meanhouseart
Fireworks|1997|06/07/2019|hellothereimaaron
Amour|2012|14/07/2019|XaviourNyx
They Shall Not Grow Old|2018|20/07/2019|Len
Yojimbo|1961|28/07/2019|meanhouseart
EuroTrip|2004|04/08/2019|hellothereimaaron
Raging Bull|1980|09/08/2019|Len
Hard to Be a God|2013|18/08/2019|XaviourNyx
The Assassination of Jesse James by the Coward Robert Ford|2007|24/08/2019|meanhouseart
North by Northwest|1960|17/09/2019|XaviourNyx
Invader ZIM: Enter the Florpus|2019|17/09/2019|hellothereimaaron
Casino|1995|21/09/2019|Len
Long Day's Journey Into Night|2018|30/09/2019|meanhouseart
A City of Sadness|1989|5/10/2019|hellothereimaaron
Hey Ram|2000|15/10/2019|XaviourNyx
Nausicaä of the Valley of the Wind|1984|21/10/2019|Len
THX 1138|1971|29/10/2019|meanhouseart
Hunt for the Wilderpeople|2016|12/11/2019|hellothereimaaron
Waltz with Bashir|2008|19/11/2019|XaviourNyx
Cabin in the Woods|2012|26/11/2019|Rayzel
The Man from Earth|2007|08/12/2019|meanhouseart
It's a Wonderful Life|1946|17/12/2019|hellothereimaaron
Monos|2019|14/01/2020|XaviourNyx
The Intouchables|2011|21/01/2020|Rayzel
Koyaanisqatsi|1982|05/02/2020|meanhouseart
Taipei Story|1985|11/02/2020|hellothereimaaron
Holy Motors|2012|18/02/2020|XaviourNyx
Contagion|2011|26/02/2020|Rayzel
Rounders|1998|04/03/2020|meanhouseart
Shoplifters|2018|25/03/2020|hellothereimaaron
Playtime|1967|31/03/2020|XaviourNyx
Bad Genius|2017|07/04/2020|Rayzel
Brokeback Mountain|2005|15/04/2020|Len
The Burial of Kojo|2018|23/04/2020|meanhouseart
Ugetsu|1953|30/04/2020|hellothereimaaron
Ida|2013|06/05/2020|XaviourNyx
Hero|2002|13/05/2020|Rayzel
Rope|1948|20/05/2020|Len
Full Metal Jacket|1987|27/05/2020|meanhouseart
Aguirre, the Wrath of God|1972|03/06/2020|hellothereimaaron
Furious 7|2015|24/06/2020|XaviourNyx
Midsommar|2019|01/07/2020|Rayzel
Trial on the Road|1971|08/07/2020|Len
Rebels of the Neon God|1992|15/07/2020|meanhouseart
Kin-dza-dza!|1986|22/07/2020|hellothereimaaron
Portrait of a Lady on Fire|2019|29/07/2020|XaviourNyx
Hamilton|2020|05/08/2020|Rayzel
The Good, the Bad and the Ugly|1966|12/08/2020|Len
Incendies|2010|19/08/2020|meanhouseart
Repo Man|1984|26/08/2020|hellothereimaaron
Werckmeister Harmonies|2000|02/09/2020|XaviourNyx
Red Cliff|2008|09/09/2020|Rayzel
Shin Godzilla|2016|16/09/2020|meanhouseart
Oldboy|2003|23/09/2020|hellothereimaaron
Fruitvale Station|2013|30/09/2020|XaviourNyx
Woman in the Dunes|1964|07/10/2020|Rayzel
Huan tu|2018|14/10/2020|meanhouseart
Pickpocket|1959|12/11/2020|hellothereimaaron
Nocturnal Animals|2016|19/11/2020|XaviourNyx
The Queen|2006|26/11/2020|Rayzel
Birth|2004|03/12/2020|meanhouseart
The Goonies|1985|07/01/2021|hellothereimaaron
Sorcerer|1953|28/01/2021|XaviourNyx
Soul|2021|04/02/2021|Rayzel
The Devil Wears Prada|2006|18/02/2021|meanhouseart
When Marnie Was There|2014|25/02/2021|hellothereimaaron
The Music Room|1958|04/03/2021|Len
Paprika|2006|11/03/2021|XaviourNyx
